id;nom_prenom;date_naissance;lieu_naissance;telephone;adresse;sexe;annee_scolaire;jhi_option;situation_matrimoniale;tuteur;contact_tuteur
1;a;2022-09-18;deposit;0722336177;Loan;F;2022-09-19;FORMATION_PROFESSIONNELLE;AUTRES;conglomeration policy Loan;firewall Avon
2;Fantastic Tasty;2022-09-19;c;0499379502;copy;M;2022-09-19;ENSEIGNEMENT_TECHNIQUE;CELIBATAIRE;c state even-keeled;24
3;Market hack;2022-09-18;technologies;0348792900;payment;M;2022-09-19;ENSEIGNEMENT_TECHNIQUE;CELIBATAIRE;Refined;customized
4;primary;2022-09-19;des wireless;0499394104;grow;M;2022-09-19;FORMATION_PROFESSIONNELLE;MARIEE;Fish d'Alésia TCP;Re-engineered c
5;reinvent a c;2022-09-18;Île-de-France;0591903724;granular;M;2022-09-18;ENSEIGNEMENT_TECHNIQUE;MARIEE;Dauphine withdrawal Guarani;forecast compressing Analyste
6;revolutionary Reduced Centre;2022-09-19;red applications;+33 236350875;Berkshire b Cross-platform;F;2022-09-18;ENSEIGNEMENT_TECHNIQUE;AUTRES;Personal systematic Streamlined;Architecte white Cambridgeshire
7;Pound Executif Chine;2022-09-18;functionalities architectures Table;+33 665167630;aggregate Salvador;F;2022-09-18;ENSEIGNEMENT_TECHNIQUE;AUTRES;Versatile;circuit
8;connect;2022-09-18;Saint-Denis;0630043039;driver Sleek;F;2022-09-18;ENSEIGNEMENT_TECHNIQUE;MARIE;Tools;deposit Shoes Soap
9;revolutionary;2022-09-19;Electronics;+33 505324863;Incredible Concrete;F;2022-09-18;ENSEIGNEMENT_TECHNIQUE;MARIE;synthesizing killer;pixel executive ubiquitous
10;foreground;2022-09-19;payment transition Toys;+33 783655097;Granite;F;2022-09-18;ENSEIGNEMENT_TECHNIQUE;CELIBATAIRE;Tasty;du Bretagne didactic
